vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 04:57:57,13.766305,100.644583,21
11-9345 1,145.0,2023-10-30 04:59:27,13.767917,100.64136,31
11-9345 1,145.0,2023-10-30 04:59:27,13.767917,100.64136,31
11-9345 1,145.0,2023-10-30 04:59:57,13.768777,100.639833,15
11-9345 1,145.0,2023-10-30 04:59:57,13.768777,100.639833,15
11-9345 1,145.0,2023-10-30 05:00:42,13.769917,100.638055,29
11-9345 1,145.0,2023-10-30 05:00:42,13.769917,100.638055,29
11-9345 1,145.0,2023-10-30 05:01:27,13.771888,100.634583,10
11-9345 1,145.0,2023-10-30 05:01:27,13.771888,100.634583,10
11-9345 1,145.0,2023-10-30 05:02:12,13.774167,100.630583,51
11-9345 1,145.0,2023-10-30 05:02:12,13.774167,100.630583,51
11-9345 1,145.0,2023-10-30 05:03:42,13.777888,100.623917,30
11-9345 1,145.0,2023-10-30 05:03:42,13.777888,100.623917,30
11-9345 1,145.0,2023-10-30 05:04:27,13.779527,100.620943,43
11-9345 1,145.0,2023-10-30 05:04:27,13.779527,100.620943,43
11-9345 1,145.0,2023-10-30 05:04:57,13.780667,100.618888,18
11-9345 1,145.0,2023-10-30 05:04:57,13.780667,100.618888,18
11-9345 1,145.0,2023-10-30 05:05:57,13.784167,100.61261,39
11-9345 1,145.0,2023-10-30 05:05:57,13.784167,100.61261,39
11-9345 1,145.0,2023-10-30 05:06:42,13.786417,100.608638,54
11-9345 1,145.0,2023-10-30 05:06:42,13.786417,100.608638,54
11-9345 1,145.0,2023-10-30 05:07:42,13.78925,100.60361,51
11-9345 1,145.0,2023-10-30 05:07:42,13.78925,100.60361,51
11-9345 1,145.0,2023-10-30 05:08:42,13.793222,100.596443,53
11-9345 1,145.0,2023-10-30 05:08:42,13.793222,100.596443,53
11-9345 1,145.0,2023-10-30 05:09:27,13.794638,100.593917,35
11-9345 1,145.0,2023-10-30 05:09:27,13.794638,100.593917,35
11-9345 1,145.0,2023-10-30 05:10:12,13.79636,100.59086,19
11-9345 1,145.0,2023-10-30 05:10:12,13.79636,100.59086,19
11-9345 1,145.0,2023-10-30 05:10:57,13.798138,100.587667,4
11-9345 1,145.0,2023-10-30 05:10:57,13.798138,100.587667,4
11-9345 1,145.0,2023-10-30 05:11:42,13.800193,100.584,33
11-9345 1,145.0,2023-10-30 05:11:42,13.800193,100.584,33
11-9345 1,145.0,2023-10-30 05:12:27,13.801972,100.580777,25
11-9345 1,145.0,2023-10-30 05:12:27,13.801972,100.580777,25
11-9345 1,145.0,2023-10-30 05:13:12,13.803777,100.57761,40
11-9345 1,145.0,2023-10-30 05:13:12,13.803777,100.57761,40
11-9345 1,145.0,2023-10-30 05:14:12,13.805138,100.57525,0
11-9345 1,145.0,2023-10-30 05:14:12,13.805138,100.57525,0
11-9345 1,145.0,2023-10-30 05:14:57,13.805167,100.57525,0
11-9345 1,145.0,2023-10-30 05:14:57,13.805167,100.57525,0
11-9345 1,145.0,2023-10-30 05:15:57,13.805888,100.574027,38
11-9345 1,145.0,2023-10-30 05:16:12,13.806722,100.572555,48
11-9345 1,145.0,2023-10-30 05:16:57,13.809472,100.567527,52
11-9345 1,145.0,2023-10-30 05:16:57,13.809472,100.567527,52
11-9345 1,145.0,2023-10-30 05:17:42,13.811943,100.563,1
11-9345 1,145.0,2023-10-30 05:17:42,13.811943,100.563,1
11-9345 1,145.0,2023-10-30 05:18:27,13.813277,100.56061,28
11-9345 1,145.0,2023-10-30 05:18:27,13.813277,100.56061,28
11-9345 1,145.0,2023-10-30 05:19:12,13.811417,100.559638,19
11-9345 1,145.0,2023-10-30 05:19:12,13.811417,100.559638,19
11-9345 1,145.0,2023-10-30 05:19:57,13.807777,100.556972,31
11-9345 1,145.0,2023-10-30 05:19:57,13.807777,100.556972,31
11-9345 1,145.0,2023-10-30 05:20:42,13.805583,100.555638,39
11-9345 1,145.0,2023-10-30 05:20:42,13.805583,100.555638,39
11-9345 1,145.0,2023-10-30 05:21:27,13.803,100.554027,40
11-9345 1,145.0,2023-10-30 05:21:27,13.803,100.554027,40
11-9345 1,145.0,2023-10-30 05:22:27,13.797888,100.551055,2
11-9345 1,145.0,2023-10-30 05:22:27,13.797888,100.551055,2
11-9345 1,145.0,2023-10-30 05:23:27,13.797583,100.548638,20
11-9345 1,145.0,2023-10-30 05:23:27,13.797583,100.548638,20
11-9345 1,145.0,2023-10-30 05:23:57,13.799805,100.54825,46
11-9345 1,145.0,2023-10-30 05:24:27,13.803417,100.548138,35
11-9345 1,145.0,2023-10-30 05:24:42,13.80475,100.548083,34
11-9345 1,145.0,2023-10-30 05:24:42,13.80475,100.548083,34
11-9345 1,145.0,2023-10-30 05:25:27,13.808693,100.547972,17
11-9345 1,145.0,2023-10-30 05:26:12,13.810667,100.54861,7
11-9345 1,145.0,2023-10-30 05:26:57,13.810777,100.547888,0
11-9345 1,145.0,2023-10-30 05:26:57,13.810777,100.547888,0
11-9345 1,145.0,2023-10-30 05:27:42,13.810805,100.547917,0
11-9345 1,145.0,2023-10-30 05:27:42,13.810805,100.547917,0
11-9345 1,145.0,2023-10-30 05:28:27,13.810805,100.547917,0
11-9345 1,145.0,2023-10-30 05:28:27,13.810805,100.547917,0
11-9345 1,145.0,2023-10-30 05:29:12,13.810777,100.547917,3
11-9345 1,145.0,2023-10-30 05:29:12,13.810777,100.547917,3
11-9345 1,145.0,2023-10-30 05:30:12,13.810972,100.549167,27
11-9345 1,145.0,2023-10-30 05:30:57,13.813193,100.54986,2
11-9345 1,145.0,2023-10-30 05:30:57,13.813193,100.54986,2
11-9345 1,145.0,2023-10-30 05:31:42,13.813472,100.549917,0
11-9345 1,145.0,2023-10-30 05:31:42,13.813472,100.549917,0
